1,2,3,4,5,6,7,8,9,10
1.175,1.19,0.396,1.12,0.346,0.679,0.089,0.73,0.481,1.08
0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
0.4075516,0.0317584,0.0518392,0.0566390,0.0330226,0.0082778,0.0216594,0.0133242,0.0343476,0.0224990
0.0317584,0.9063047,0.0313639,0.0268726,0.0191717,0.0093438,0.0249504,0.0076104,0.0287487,0.0133687
0.0518392,0.0313639,0.1949090,0.0440849,0.0300677,0.0132274,0.0352597,0.0115493,0.0427563,0.0205730
0.0566390,0.0268726,0.0440849,0.1952847,0.0277735,0.0052667,0.0137581,0.0078088,0.0291418,0.0164038
0.0330226,0.0191717,0.0300677,0.0277735,0.3405911,0.0077706,0.0206784,0.0073641,0.0254266,0.0128408
0.0082778,0.0093438,0.0132274,0.0052667,0.0077706,0.1598387,0.0210558,0.0051869,0.0172374,0.0072378
0.0216594,0.0249504,0.0352597,0.0137581,0.0206784,0.0210558,0.6805671,0.0137788,0.0462703,0.0192609
0.0133242,0.0076104,0.0115493,0.0078088,0.0073641,0.0051869,0.0137788,0.9552692,0.0106553,0.0076096
0.0343476,0.0287487,0.0427563,0.0291418,0.0254266,0.0172374,0.0462703,0.0106553,0.3168158,0.0185432
0.0224990,0.0133687,0.0205730,0.0164038,0.0128408,0.0072378,0.0192609,0.0076096,0.0185432,0.1107929
